VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,01/01/2020 12:16:18 AM,01/01/2020 12:22:46 AM,1,1.1,1,N,162,237,2,6.5,3,0.5,0,0,0.3,10.3,2.5
1,01/01/2020 12:47:39 AM,01/01/2020 01:01:11 AM,1,1.5,1,N,161,141,1,10,3,0.5,4.1,0,0.3,17.9,2.5
1,01/01/2020 12:49:48 AM,01/01/2020 01:35:07 AM,2,11.4,1,N,50,255,1,39.5,3,0.5,8.65,0,0.3,51.95,2.5
2,01/01/2020 12:31:28 AM,01/01/2020 12:45:27 AM,1,2.34,1,N,239,229,1,11,0.5,0.5,2.96,0,0.3,17.76,2.5
2,01/01/2020 12:47:58 AM,01/01/2020 01:02:59 AM,1,2.44,1,N,229,236,2,12,0.5,0.5,0,0,0.3,15.8,2.5
1,01/01/2020 12:16:15 AM,01/01/2020 12:26:07 AM,1,3.2,1,N,148,87,1,12,3,0.5,3.15,0,0.3,18.95,2.5
1,01/01/2020 12:30:26 AM,01/01/2020 12:38:30 AM,1,1.7,1,N,87,261,2,8,3,0.5,0,0,0.3,11.8,2.5
1,01/01/2020 12:41:15 AM,01/01/2020 01:27:28 AM,1,14.9,1,N,231,127,1,47.5,3,0.5,5,0,0.3,56.3,2.5
1,01/01/2020 12:23:57 AM,01/01/2020 12:35:07 AM,1,1.4,1,N,68,246,2,9,3,0.5,0,0,0.3,12.8,2.5
1,01/01/2020 12:52:29 AM,01/01/2020 12:55:46 AM,1,0.3,1,N,68,90,3,4,3,0.5,0,0,0.3,7.8,2.5
2,01/01/2020 12:28:02 AM,01/01/2020 12:31:58 AM,1,1.2,1,N,236,237,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
2,01/01/2020 12:33:50 AM,01/01/2020 12:48:54 AM,1,6.44,1,N,237,87,1,20,0.5,0.5,4.76,0,0.3,28.56,2.5
2,01/01/2020 12:50:19 AM,01/01/2020 01:05:46 AM,1,6.15,1,N,87,162,1,19.5,0.5,0.5,4.66,0,0.3,27.96,2.5
2,01/01/2020 12:22:06 AM,01/01/2020 12:26:40 AM,2,0.4,1,N,48,246,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,01/01/2020 12:40:09 AM,01/01/2020 12:51:20 AM,1,1.89,1,N,50,239,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
2,01/01/2020 12:54:17 AM,01/01/2020 01:27:05 AM,1,3.02,1,N,238,68,2,21,0.5,0.5,0,0,0.3,24.8,2.5
2,01/01/2020 12:14:26 AM,01/01/2020 12:51:55 AM,1,3.21,1,N,48,237,1,22.5,0.5,0.5,5.26,0,0.3,31.56,2.5
2,01/01/2020 12:53:10 AM,01/01/2020 12:57:56 AM,1,0.83,1,N,237,263,1,5.5,0.5,0.5,1,0,0.3,10.3,2.5
2,01/01/2020 12:18:19 AM,01/01/2020 12:29:31 AM,1,2.36,1,N,236,43,1,10.5,0.5,0.5,3.58,0,0.3,17.88,2.5
2,01/01/2020 12:30:27 AM,01/01/2020 12:35:37 AM,1,1.08,1,N,43,43,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,01/01/2020 12:37:14 AM,01/01/2020 12:41:38 AM,1,0.74,1,N,43,238,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
2,01/01/2020 12:47:00 AM,01/01/2020 12:52:12 AM,1,1.22,1,N,43,41,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5
2,01/01/2020 12:57:38 AM,01/01/2020 01:20:23 AM,1,6.34,1,N,151,7,1,21,0.5,0.5,2,0,0.3,26.8,2.5
2,01/01/2020 02:12:22 AM,01/01/2020 02:12:27 AM,1,0,5,N,265,265,1,65,0,0,0,0,0.3,65.3,0
2,01/01/2020 12:33:49 AM,01/01/2020 12:49:52 AM,2,1.3,1,N,107,68,1,11,0.5,0.5,2.96,0,0.3,17.76,2.5
2,01/01/2020 12:03:49 AM,01/01/2020 12:12:02 AM,1,1.54,1,N,238,236,2,8,0.5,0.5,0,0,0.3,11.8,2.5
